timestamp,euro_per_kWh
2024-03-29 22:00:00,0.07247
2024-03-29 23:00:00,0.0708
2024-03-30 00:00:00,0.07118
2024-03-30 01:00:00,0.07038
2024-03-30 02:00:00,0.07073
2024-03-30 03:00:00,0.07049
2024-03-30 04:00:00,0.07103
2024-03-30 05:00:00,0.06785
2024-03-30 06:00:00,0.06149
2024-03-30 07:00:00,0.05353
2024-03-30 08:00:00,0.05103
2024-03-30 09:00:00,0.04921
2024-03-30 10:00:00,0.0498
2024-03-30 11:00:00,0.04881
2024-03-30 12:00:00,0.0484
2024-03-30 13:00:00,0.05005
2024-03-30 14:00:00,0.05262
2024-03-30 15:00:00,0.05373
2024-03-30 16:00:00,0.05429
2024-03-30 17:00:00,0.05906
2024-03-30 18:00:00,0.06478
2024-03-30 19:00:00,0.06535
2024-03-30 20:00:00,0.05434
2024-03-30 21:00:00,0.0518
