timestamp,euro_per_kWh
2024-03-30 22:00:00,0.0644
2024-03-30 23:00:00,0.06677
2024-03-31 00:00:00,0.06724
2024-03-31 01:00:00,0.06781
2024-03-31 02:00:00,0.06853
2024-03-31 03:00:00,0.06861
2024-03-31 04:00:00,0.06758
2024-03-31 05:00:00,0.06216
2024-03-31 06:00:00,0.05678
2024-03-31 07:00:00,0.05281
2024-03-31 08:00:00,0.05241
2024-03-31 09:00:00,0.05038
2024-03-31 10:00:00,0.04844
2024-03-31 11:00:00,0.04822
2024-03-31 12:00:00,0.04861
2024-03-31 13:00:00,0.04919
2024-03-31 14:00:00,0.0527
2024-03-31 15:00:00,0.05201
2024-03-31 16:00:00,0.0515
2024-03-31 17:00:00,0.05125
2024-03-31 18:00:00,0.04904
2024-03-31 19:00:00,0.05054
2024-03-31 20:00:00,0.04976
