timestamp,euro_per_kWh
2024-03-28 22:00:00,0.05827
2024-03-28 23:00:00,0.05815
2024-03-29 00:00:00,0.0592
2024-03-29 01:00:00,0.05998
2024-03-29 02:00:00,0.06041
2024-03-29 03:00:00,0.06035
2024-03-29 04:00:00,0.06011
2024-03-29 05:00:00,0.06029
2024-03-29 06:00:00,0.08372
2024-03-29 07:00:00,0.0832
2024-03-29 08:00:00,0.12898
2024-03-29 09:00:00,0.1264
2024-03-29 10:00:00,0.12677
2024-03-29 11:00:00,0.1262
2024-03-29 12:00:00,0.07552
2024-03-29 13:00:00,0.07618
2024-03-29 14:00:00,0.07944
2024-03-29 15:00:00,0.07817
2024-03-29 16:00:00,0.13145
2024-03-29 17:00:00,0.1314
2024-03-29 18:00:00,0.14258
2024-03-29 19:00:00,0.14901
2024-03-29 20:00:00,0.09126
2024-03-29 21:00:00,0.09198
