timestamp,euro_per_kWh
2024-04-03 22:00:00,0.05181
2024-04-03 23:00:00,0.05066
2024-04-04 00:00:00,0.05528
2024-04-04 01:00:00,0.0572
2024-04-04 02:00:00,0.05553
2024-04-04 03:00:00,0.0547
2024-04-04 04:00:00,0.05383
2024-04-04 05:00:00,0.05652
2024-04-04 06:00:00,0.08512
2024-04-04 07:00:00,0.08239
2024-04-04 08:00:00,0.121
2024-04-04 09:00:00,0.12024
2024-04-04 10:00:00,0.12032
2024-04-04 11:00:00,0.12022
2024-04-04 12:00:00,0.0728
2024-04-04 13:00:00,0.07178
2024-04-04 14:00:00,0.07095
2024-04-04 15:00:00,0.07049
2024-04-04 16:00:00,0.12293
2024-04-04 17:00:00,0.13386
2024-04-04 18:00:00,0.13061
2024-04-04 19:00:00,0.1462
2024-04-04 20:00:00,0.07468
2024-04-04 21:00:00,0.07151
