timestamp,euro_per_kWh
2024-03-31 22:00:00,0.05534
2024-03-31 23:00:00,0.05501
2024-04-01 00:00:00,0.05638
2024-04-01 01:00:00,0.05767
2024-04-01 02:00:00,0.05755
2024-04-01 03:00:00,0.05428
2024-04-01 04:00:00,0.05466
2024-04-01 05:00:00,0.05172
2024-04-01 06:00:00,0.07397
2024-04-01 07:00:00,0.0683
2024-04-01 08:00:00,0.11872
2024-04-01 09:00:00,0.11892
2024-04-01 10:00:00,0.11872
2024-04-01 11:00:00,0.11841
2024-04-01 12:00:00,0.06871
2024-04-01 13:00:00,0.06832
2024-04-01 14:00:00,0.06873
2024-04-01 15:00:00,0.06872
2024-04-01 16:00:00,0.11963
2024-04-01 17:00:00,0.11785
2024-04-01 18:00:00,0.13164
2024-04-01 19:00:00,0.14284
2024-04-01 20:00:00,0.09138
2024-04-01 21:00:00,0.08679
